,Ticker,Conversations,Headlines,HeadlinesL2Delta,ConversationL2Delta,HeadlinesR2,ConversationR2,HeadlinePascal,ConversationPascal
1207,VAC,0.15001142189736907,0.003809090909090915,0.0,0.038566981132075476,0.03128035098338227,0,0.045644067119075045,0
1208,RARE,0.7434499999999999,0.17649482758620688,-0.056900000000000006,-0.1672999999999999,0.02016202551000141,0.9999999999999998,0.2926284991833568,0.7016249999999999
1209,DCT,0.15001142189736907,0.29327692307692305,0.2263,0.038566981132075476,0.004718944066343384,0,0.26838859929442405,0
1210,PLNT,0.15001142189736907,0.309732258064516,0.23740000000000006,0.038566981132075476,0.07159549721685698,0,0.22552274910714679,0
1211,MAN,0.15001142189736907,0.044615384615384585,0.7906,0.038566981132075476,0.37074668204855227,0,0.3482100738666649,0
1212,EXEL,0.15001142189736907,0.2628589285714285,-0.11879999999999996,0.038566981132075476,0.18889592998014856,0,0.406076174288133,0
1213,COTY,0.15001142189736907,0.13091311475409836,-0.1779,0.038566981132075476,0.012456761300220708,0,0.16281992067450757,0
1214,SRCL,0.15001142189736907,0.020887999999999997,-1.0584,0.038566981132075476,0.0029493806508555046,0,0.12426827411364443,0
1215,MDU,-0.4939,0.1936666666666667,0.0,0.0,0.008737330994282729,0,0.2349270906387792,-0.4939
1216,LITE,0.15001142189736907,0.07063599999999998,-0.4588,0.038566981132075476,0.11772765360627375,0,0.17785876351521757,0
1217,LEG,0.15001142189736907,-0.002295652173913043,0.5626,0.038566981132075476,0.006813767382654167,0,-0.08764887982794606,0
1218,DLB,0.15001142189736907,0.11678518518518519,-0.743,0.038566981132075476,0.021752862156562785,0,0.3094937991272954,0
1219,NXST,0.8971499999999999,0.11509565217391306,0.128,0.1059,0.01370001363712922,1.0,-0.07074149580365997,0.9236249999999999
1220,SNX,0.15001142189736907,0.14187454545454548,-0.4019,0.038566981132075476,0.012491912203604016,0,0.2622964093197481,0
1221,VNT,0.47433999999999993,0.1997,0.3612,1.1865999999999999,0.017139426703359523,0.11686665772454218,0.20207878635271886,0.350675390625
1222,PB,0.15001142189736907,0.4081365384615384,-0.4588,0.038566981132075476,0.0010573275253253907,0,0.44275215430915016,0
1223,SPCE,-0.45389999999999997,0.012738333333333325,0.4588,0.14420000000000005,0.016249815634595592,0,-0.06811647734142795,-0.41785
1224,SKX,0.26628571428571435,0.11781714285714284,0.0,-0.7547999999999999,0.14536220236803024,0.13543418356949058,0.058280793196163916,-0.03317903939932583
1225,QDEL,-0.02010000000000001,-0.00854426229508196,0.296,0.4588,0.006472788453073771,0,-0.04301531931305701,-0.14045693359374997
1226,EVBG,0.15001142189736907,0.07877500000000001,0.296,0.038566981132075476,1.0491104227641795e-08,0,-0.010369299316406247,0
1227,THO,0.1501090909090909,0.020537999999999994,0.0,0.3464999999999999,0.010500693267377195,0.039728156988249275,0.0013464075676943028,0.6056719846725466
1228,AYI,0.15001142189736907,0.19444499999999998,0.0237,0.038566981132075476,0.0015928707542543668,0,0.19500793973891056,0
1229,RBC,0.15001142189736907,0.1882588235294118,0.0,0.038566981132075476,0.01916922664735762,0,0.11406078549511078,0
1230,MSA,0.9319000000000001,0.5004931034482759,-0.6496,0.10340000000000005,0.002703867232202078,0.09304885149975199,0.585994128670549,0.934975
1231,HUN,0.15001142189736907,0.05317317073170732,0.0,0.038566981132075476,0.009118786661130033,0,0.052192978051552194,0
1232,IBKR,0.41209999999999997,0.0920220588235294,0.552,-0.7096,0.0010072342783541308,0.9383855949157803,0.3356169027614678,0.25466875
1233,PRGO,0.15001142189736907,0.0329086956521739,-0.1904,0.038566981132075476,0.05539597115148278,0,0.2507657753626056,0
1234,GPK,0.15001142189736907,0.06637199999999997,0.2732,0.038566981132075476,0.0008989552330900515,0,0.1368252481994193,0
